name lognj0 lognj0_unc lognj1 lognj1_unc lognj2 lognj2_unc lognj3 lognj3_unc lognj4 lognj4_unc lognj5 lognj5_unc lognj6 lognj6_unc lognj7 lognj7_unc
HD119069       17.84   0.15   18.23   0.15   17.45   0.15   17.36   0.15  14.26   0.15   13.85   0.15
HD122879       19.90   0.10   20.10   0.10   17.38   0.15   16.83   0.45  15.30   0.40   14.70   0.25
HD124979       20.08   0.10   20.18   0.10   17.85   0.20   16.91   0.45  15.38   0.10   14.70   0.10
HD147888       20.37   0.09   19.76   0.12   18.58   0.10   17.06   0.25  15.70   0.44   15.24   0.38   14.38   0.15
HD148422       19.85   0.10   19.80   0.10   17.55   0.30   16.85   0.30  15.35   0.25   14.75   0.10
idem               15.30   0.30   15.50   0.40   14.85   0.15   14.80   0.15  13.75   0.25   14.30   0.10
HD149404       20.60   0.10   20.35   0.10   18.50   0.40   16.84   0.15  15.94   0.15   15.34   0.10   14.00   0.25
HD151805       20.10   0.10   20.01   0.08   18.22   0.18   16.90   0.55  15.63   0.37   15.06   0.10
HD152233       20.05   0.15   19.95   0.15   18.40   0.10   17.55   0.25  16.50   0.25   15.50   0.10
idem               17.30   1.50   16.70   1.00   15.00   0.30   15.20   0.15  14.65   0.25   14.10   0.15
HD152234       20.30   0.10   20.07   0.10   18.25   0.20   17.60   0.25  15.90   0.15   15.27   0.25
HD152248       20.00   0.10   19.90   0.10   18.30   0.15   17.90   0.25  15.70   0.25   15.00   0.25
HD152249       19.95   0.45   19.70   0.15   18.00   0.10   16.70   0.15  14.85   0.12   14.00   0.25
idem               19.45   0.25   19.65   0.15   17.10   0.10   16.65   0.10  15.45   0.12   14.65   0.10
idem               18.60   1.00   18.60   1.00   14.90   0.10   14.90   0.10  14.25   0.10   14.05   0.10
HD152723       20.00   0.15   20.00   0.10   16.35   0.30   16.00   0.60  15.10   0.25   14.80   0.10
HD157857       20.30   0.10   20.40   0.10   18.00   0.20   16.60   0.20  15.05   0.10   14.65   0.10
HD160993       19.14   0.06   19.20   0.06   17.90   0.05   17.68   0.05  15.63   0.09   14.74   0.07
HD161056       20.78   0.15   20.68   0.15   19.02   0.25   17.73   0.30  16.03   0.40   15.60   0.30
HD163522       19.20   0.20   19.25   0.20   17.60   0.60   16.20   0.60  14.80   0.10   14.25   0.10
idem               18.20   0.50   18.50   0.20   15.10   0.20   15.00   0.10  14.55   0.10   13.75   0.10
HD164816       19.66   0.06   19.50   0.08   17.56   0.10   17.04   0.25  15.08   0.50   14.32   0.10
HD164906       19.98   0.10   19.89   0.10   18.30   0.10   17.15   0.35  15.05   0.10   14.30   0.30
HD165052       19.75   0.15   19.95   0.15   17.35   0.60   16.80   0.20  14.95   0.10   14.50   0.10
HD167402       19.95   0.10   19.75   0.15   18.20   0.10   17.85   0.40  15.10   0.10   14.35   0.15
HD167771       20.40   0.15   20.35   0.10   18.27   0.25   16.12   0.15  15.20   0.10   14.65   0.10
HD168076       20.45   0.10   20.30   0.10   18.30   0.30   17.20   0.50  16.40   0.30   15.85   0.15   14.75   0.15   14.60   0.15
HD168941       19.98   0.10   19.82   0.10   17.76   0.50   17.20   0.15  15.19   0.10   14.56   0.10
HD177989       20.00   0.10   19.65   0.10   18.00   0.30   17.05   0.20  15.05   0.10   14.47   0.10
